,year,month,day,hour,outdoor_temperature,heat_transfer_window ,heat_transfer_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_district_cooling,total_district_heating,SWH_production,PV_production,wind_production,occupants
0,1994,1,1,1,-1.7,-25069230.039758347,-57415970.48418111,728567336.4480001,0.0,15380786572.897556,0.0,1017894942.72,4868722713.599999,25028075799.650208,0.0,475146057.2510416,130457878.0830862,274669943.8695298,6291745478.272615,0.0,25503221856.90125,0.0,0.0,0.0,483.83242105263156
1,1994,1,1,2,-1.7,-35551460.713483185,-81423386.98706007,728567336.4480001,0.0,15359430577.675283,0.0,1017894942.72,4868722713.599999,24993546327.74186,0.0,475146057.2510416,130457878.0830862,274669943.8695298,6291745478.272615,0.0,25468692384.9929,0.0,0.0,0.0,483.83242105263156
2,1994,1,1,3,-3.4,-54002595.16985955,-123681956.14402388,728567336.4480001,0.0,16556765608.266455,0.0,1017894942.72,4868722713.599999,26945299526.063988,0.0,475146057.2510416,130457878.0830862,274669943.8695298,6291745478.272615,0.0,27420445583.31503,0.0,0.0,0.0,483.83242105263156
3,1994,1,1,4,-4.5,-66171519.59156974,-151552401.47932377,728567336.4480001,0.0,17328964140.965187,0.0,1017894942.72,4868722713.599999,28204145929.770546,0.0,475146057.2510416,130457878.0830862,274669943.8695298,6291745478.272615,0.0,28679291987.021587,0.0,0.0,0.0,483.83242105263156
4,1994,1,1,5,-5.6,-85529063.16969387,-195886916.2994901,728567336.4480001,0.0,18100888901.66737,0.0,1017894942.72,4868722713.599999,29462523257.095314,0.0,475146057.2510416,130457878.0830862,274669943.8695298,6291745478.272615,0.0,29937669314.346355,0.0,0.0,0.0,483.83242105263156
5,1994,1,1,6,-5.6,-85529063.16969387,-195886916.2994901,728567336.4480001,0.0,17954178627.287895,0.0,1088495769.6000001,5221726848.0,29219624485.153164,0.0,475146057.2510416,130457878.0830862,274669943.8695298,6715350439.552616,0.0,29694770542.404205,0.0,0.0,0.0,483.83242105263156
6,1994,1,1,7,-5.6,-56868354.59221631,-130245394.9950715,728567336.4480001,0.0,17823983997.87125,0.0,1141446389.76,5486479948.8,29004110573.629017,0.0,633528076.3347219,130457878.0830862,274669943.8695298,7033054160.512616,0.0,29637638649.963737,0.0,0.0,0.0,645.1098947368422
7,1994,1,1,8,-6.2,-14472124.364315392,-70157215.64457121,728567336.4480001,0.0,19841462771.6043,0.0,1212047216.6399999,5839484083.2,32317688848.700413,0.0,791910095.4184026,130457878.0830862,274669943.8695298,7456659121.792616,0.0,33109598944.118816,0.0,0.0,0.0,806.3873684210527
8,1994,1,1,9,-2.3,64139846.85010513,7310877.624155386,728567336.4480001,0.0,17005857253.080933,0.0,1212047216.6399999,5839484083.2,27693539450.67515,0.0,791910095.4184026,130457878.0830862,274669943.8695298,7456659121.792616,0.0,28485449546.093555,0.0,0.0,0.0,806.3873684210527
9,1994,1,1,10,0.5,352961445.7051691,261527558.6552118,728567336.4480001,0.0,15007557024.06677,0.0,1212047216.6399999,5839484083.2,24436065696.178074,0.0,791910095.4184026,130457878.0830862,274669943.8695298,7456659121.792616,0.0,25227975791.596478,0.0,0.0,0.0,806.3873684210527
