,year,month,day,hour,outdoor_temperature,heat_transfer_window ,heat_transfer_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_gas,SWH_production,PV_production,wind_production,occupants
0,1994,1,1,1,-1.7,-218118.92579749835,-2017644.5322140108,669119.9999999999,0.0,23906439.4867432,0.0,200736.0,1570959.936,30995143.632272102,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,42194832.17850272,0.0,0.0,0.0,4.4608
1,1994,1,1,2,-1.7,-309321.28386307886,-2861284.9380304306,669119.9999999999,0.0,34006764.55430979,0.0,200736.0,1570959.936,44057665.90242759,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,55257354.44865821,0.0,0.0,0.0,4.4608
2,1994,1,1,3,-3.4,-469858.3893500575,-4346285.892986452,669119.9999999999,0.0,41781316.59231,0.0,200736.0,1570959.936,53887190.50500637,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,65086879.051236995,0.0,0.0,0.0,4.4608
3,1994,1,1,4,-4.5,-575736.1015400549,-5325676.3163640415,669119.9999999999,0.0,47250175.73263554,0.0,200736.0,1570959.936,60738093.267109975,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,71937781.8133406,0.0,0.0,0.0,4.4608
4,1994,1,1,5,-5.6,-744159.567463917,-6883627.713178185,669119.9999999999,0.0,51662766.03203358,0.0,200736.0,1570959.936,66232053.59313407,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,77431742.13936469,0.0,0.0,0.0,4.4608
5,1994,1,1,6,-5.6,-744159.567463917,-6883627.713178185,669119.9999999999,0.0,53995478.26397113,0.0,200736.0,1570959.936,69123998.4311679,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,80323686.97739853,0.0,0.0,0.0,4.4608
6,1994,1,1,7,-5.6,-494792.39672911074,-4576930.544616711,669119.9999999999,0.0,54769749.487543836,0.0,200736.0,1570959.936,70082343.39350457,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,81282031.9397352,0.0,0.0,0.0,4.4608
7,1994,1,1,8,-6.2,-48840.771777229565,-2668547.2042692,669119.9999999999,0.0,54698968.84101035,0.0,863164.7999999999,2019203.424,69995040.18908463,0.0,9890444.955176264,427133.3476061946,480776.4280735989,3790277.9996797936,79885485.1442609,0.0,0.0,0.0,3.93933248
8,1994,1,1,9,-2.3,871852.3711840401,-324258.7262876049,669119.9999999999,0.0,50844438.64309125,0.0,379391.04000000004,1705854.528,65214189.176045015,0.0,4576304.736875295,427133.3476061946,480776.4280735989,2993155.3436797936,69790493.91292031,0.0,0.0,0.0,1.8227274879999997
9,1994,1,1,10,0.5,6316449.288009906,6943687.784017744,669119.9999999999,0.0,43650440.78136669,0.0,258748.704,1487212.8768,56232985.6846686,0.0,2709092.6624477254,427133.3476061946,480776.4280735989,2653871.3564797933,58942078.34711633,0.0,0.0,0.0,1.079022912
