month,outdoor_temperature,heat_transfer_window ,heat_transfer_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_gas,SWH_production,PV_production,wind_production
1,-0.0024695,1316.5606302911153,298.856108019844,497.8252799999999,0.0,34610.43167375244,0.0,496.1140056,1411.8835211712,44422.56711576876,0.0,5701.122384657562,317.78721061900876,357.69766248675757,2583.482399876966,50123.68950042632,0.0,0.0,0.0
2,0.0011194,2289.5854416680636,1640.3487467519299,449.64863999999994,0.0,23276.773963136093,0.0,448.1029728,1275.2496320255998,30035.547785120747,0.0,5149.400863561669,286.29559560527036,323.08175966545843,2332.729960096329,35184.94864868242,0.0,0.0,0.0
3,0.0053201,2295.354792021785,2466.217233809298,497.8252799999999,0.0,17757.005921301425,177.3621807261213,496.1140056,1411.8835211712,22989.64001654703,62.43163802983624,5701.122384657562,302.2889169110686,357.69766248675757,2630.4157441988623,28690.762401204596,0.0,0.0,0.0
4,0.0088714,2575.050402511145,3836.1863805729718,481.7663999999999,0.0,10124.21911698595,1064.8106947885003,480.110328,1366.338891456,13139.370380245602,374.0050622942633,5517.2152109589315,246.28084943079182,346.1590282129912,2812.8941593940463,18656.585591204537,0.0,0.0,0.0
5,0.0123382,3040.9406849485385,5440.469298705728,497.8252799999999,0.0,5406.726597398189,2883.9473556691332,496.1140056,1411.8835211712,7028.815886423178,1009.869073262762,5701.122384657562,198.96695885813412,357.69766248675757,3474.531221378854,12729.938271080742,0.0,0.0,0.0
6,0.0157822,3196.6140205341676,6337.610154021644,481.7663999999999,0.0,1437.250650540868,7181.418119020704,480.110328,1366.338891456,1878.782667703277,2503.906029286314,5517.2152109589315,130.4126536142867,346.1590282129912,4826.9269305695925,7395.997878662208,0.0,0.0,0.0
7,0.0183663,3433.7835316593746,7881.741012853746,497.8252799999999,0.0,695.978881033249,11255.56820137306,496.1140056,1411.8835211712,911.2733760737822,3930.095299870292,5701.122384657562,95.27599381215344,357.69766248675757,6291.066482940403,6612.395760731345,0.0,0.0,0.0
8,0.019265400000000002,2937.162514946955,5975.173249373581,497.8252799999999,0.0,207.7524165349765,10887.528948139481,496.1140056,1411.8835211712,272.4804622394305,3803.3916258637396,5701.122384657562,65.38642737541169,357.69766248675757,6134.473242497109,5973.602846896993,0.0,0.0,0.0
9,0.015215,2474.3909323296916,3436.965111927882,481.7663999999999,0.0,2055.5773567469146,4835.751331306715,480.110328,1366.338891456,2679.0310319063897,1690.7866891128956,5517.2152109589315,140.74484941958016,346.1590282129912,4024.139786201467,8196.246242865322,0.0,0.0,0.0
10,0.0100635,2267.4334272042724,2520.3919858337736,497.8252799999999,0.0,9082.987699901421,711.7553536342224,496.1140056,1411.8835211712,11794.508131693796,251.6765838250795,5701.122384657562,255.4250287942019,357.69766248675757,2772.7968018772385,17495.63051635136,0.0,0.0,0.0
11,0.005799899999999999,1939.4296330017912,1195.3055116922424,481.7663999999999,0.0,16389.950438412776,4.517867689512052,480.110328,1366.338891456,21239.51943242506,1.6853617085899584,5517.2152109589315,300.8938844016286,346.1590282129912,2495.1874937792095,26756.73464338399,0.0,0.0,0.0
12,0.0034268,1315.7107818583327,260.3799043705972,497.8252799999999,0.0,23016.615231476295,0.0,496.1140056,1411.8835211712,29731.750426179733,0.0,5701.122384657562,315.94217565377784,357.69766248675757,2581.6373649117354,35432.872810837296,0.0,0.0,0.0
