month,outdoor_temperature,heat_transfer_window ,heat_transfer_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_gas,SWH_production,PV_production,wind_production
1,-0.0024695,1316.5606302911153,298.856108019844,497.8252799999999,0.0,34627.637804865306,0.0,496.1140056,1411.8835211712,44447.15932761162,0.0,5701.122384657562,318.83605876441834,410.11399132698796,2636.947576862606,50148.281712269185,0.0,0.0,0.0
2,0.0011194,2289.5854416680636,1640.3487467519299,449.64863999999994,0.0,23270.099297318975,0.0,448.1029728,1275.2496320255998,30028.31703187895,0.0,5149.400863561669,287.2401228329914,370.4255405534085,2381.018268212,35177.71789544062,0.0,0.0,0.0
3,0.0053201,2295.354792021785,2466.217233809298,497.8252799999999,0.0,17778.425828707117,193.56286639007558,496.1140056,1411.8835211712,23017.703404921846,68.17772394382037,5701.122384657562,302.1673056814479,410.11399132698796,2688.4565477234564,28718.82578957941,0.0,0.0,0.0
4,0.0088714,2575.050402511145,3836.1863805729718,481.7663999999999,0.0,10179.624137646291,1122.612545756872,480.110328,1366.338891456,13211.115248092605,394.423512978497,5517.2152109589315,250.7660139230965,396.88450773579484,2888.5232540933885,18728.330459051536,0.0,0.0,0.0
5,0.0123382,3040.9406849485385,5440.469298705728,497.8252799999999,0.0,5484.706803508453,2976.3608247144134,496.1140056,1411.8835211712,7129.956062334899,1042.1033954453983,5701.122384657562,202.89562065397936,410.11399132698796,3563.110534197566,12831.07844699246,0.0,0.0,0.0
6,0.0157822,3196.6140205341676,6337.610154021644,481.7663999999999,0.0,1489.9906201018878,7248.960512970226,480.110328,1366.338891456,1947.4690065129184,2527.538085461671,5517.2152109589315,132.97349213677188,396.88450773579484,4903.8453047902385,7464.68421747185,0.0,0.0,0.0
7,0.0183663,3433.7835316593746,7881.741012853746,497.8252799999999,0.0,736.1896912822799,11310.992240725556,496.1140056,1411.8835211712,963.7637368781154,3948.826792230204,5701.122384657562,98.06768459885399,410.11399132698796,6365.005994927245,6664.886121535677,0.0,0.0,0.0
8,0.019265400000000002,2937.162514946955,5975.173249373581,497.8252799999999,0.0,228.89135968956165,10924.549337570263,496.1140056,1411.8835211712,300.1399075560013,3816.3304294658938,5701.122384657562,66.58226210879866,410.11399132698796,6201.024209672881,6001.262292213563,0.0,0.0,0.0
9,0.015215,2474.3909323296916,3436.965111927882,481.7663999999999,0.0,2122.5086513231727,4917.26386869988,480.110328,1366.338891456,2766.294673289926,1719.4766142119568,5517.2152109589315,143.34516072173128,396.88450773579484,4106.155502125483,8283.509884248857,0.0,0.0,0.0
10,0.0100635,2267.4334272042724,2520.3919858337736,497.8252799999999,0.0,9169.129023757638,778.5727464081078,496.1140056,1411.8835211712,11906.507913340389,275.1527496825421,5701.122384657562,258.08771419537044,410.11399132698796,2851.3519819761004,17607.630297997952,0.0,0.0,0.0
11,0.005799899999999999,1939.4296330017912,1195.3055116922424,481.7663999999999,0.0,16401.118281502197,7.867813507095419,480.110328,1366.338891456,21253.59526837996,2.9087733242512988,5517.2152109589315,301.142689907185,396.88450773579484,2547.385190423231,26770.81047933889,0.0,0.0,0.0
12,0.0034268,1315.7107818583327,260.3799043705972,497.8252799999999,0.0,23020.701830165526,0.0,496.1140056,1411.8835211712,29737.813476478434,0.0,5701.122384657562,316.98397508853276,410.11399132698796,2635.095493186721,35438.93586113599,0.0,0.0,0.0
